frame_idx,detections,persons,fps_inst
0,10,10,11.026
1,10,10,39.147
2,10,10,29.725
3,11,11,32.087
4,11,11,25.034
5,11,11,29.560
6,11,11,33.671
7,11,11,29.292
8,11,11,32.338
9,10,10,34.005
10,10,10,33.219
11,10,10,32.714
12,10,10,33.862
13,10,10,25.998
14,10,10,33.023
15,10,10,34.834
16,11,11,27.146
17,10,10,29.854
18,10,10,44.260
19,10,10,36.049
20,10,10,35.465
21,10,10,24.138
22,10,10,32.732
23,10,10,38.478
24,10,10,31.869
25,11,11,29.374
26,11,11,32.529
27,11,11,27.721
28,11,11,33.437
29,11,11,31.555
30,10,10,33.666
31,10,10,25.729
32,10,10,32.803
33,10,10,32.120
34,10,10,34.046
35,10,10,23.935
36,10,10,31.682
37,10,10,34.016
38,11,11,24.293
39,11,11,29.821
40,11,11,34.606
41,11,11,32.848
42,11,11,34.186
43,12,12,31.777
44,11,11,28.258
45,10,10,29.953
46,10,10,34.172
47,10,10,25.491
48,10,10,34.147
49,10,10,25.058
50,9,9,32.257
51,9,9,33.927
52,9,9,26.435
53,11,11,32.119
54,11,11,33.012
55,11,11,24.348
56,11,11,34.360
57,9,9,24.607
58,8,8,32.285
59,8,8,33.919
60,9,9,26.421
61,8,8,30.835
62,8,8,34.160
63,9,9,27.961
64,9,9,27.838
65,9,9,30.989
66,8,8,34.028
67,9,9,27.198
68,9,9,33.889
69,8,8,25.962
70,9,9,33.623
71,9,9,32.129
72,9,9,25.448
73,7,7,30.324
74,8,8,34.919
75,9,9,26.514
76,10,10,31.329
77,7,7,33.396
78,8,8,25.150
79,8,8,29.318
80,9,9,32.761
81,9,9,26.083
82,6,6,34.284
83,5,5,32.361
84,5,5,26.833
85,6,6,30.589
86,6,6,34.490
87,5,5,33.770
88,5,5,32.461
89,5,5,33.206
90,6,6,34.090
91,6,6,27.812
92,5,5,31.889
93,7,7,32.566
94,7,7,33.987
95,7,7,29.041
96,7,7,35.004
97,7,7,27.850
98,7,7,33.991
99,7,7,31.661
100,7,7,27.813
101,7,7,30.744
102,7,7,35.203
103,7,7,33.340
104,8,8,36.530
105,8,8,27.468
106,7,7,31.127
107,6,6,33.690
108,8,8,27.457
109,8,8,34.089
110,8,8,25.095
111,8,8,34.283
112,8,8,31.910
113,10,10,28.754
114,10,10,32.013
115,11,11,34.360
116,10,10,26.899
117,11,11,30.250
118,11,11,31.599
119,11,11,29.091
120,10,10,30.724
121,10,10,34.942
122,10,10,24.029
123,10,10,31.799
124,11,11,24.933
125,12,12,32.426
126,11,11,32.242
127,11,11,31.832
128,10,10,31.838
129,11,11,24.910
130,11,11,29.874
131,10,10,25.262
132,9,9,31.054
133,9,9,34.446
134,10,10,29.161
135,8,8,32.077
136,8,8,30.304
137,9,9,34.296
138,10,10,31.452
139,9,9,31.604
140,9,9,35.180
141,9,9,33.305
142,10,10,32.353
143,10,10,33.720
144,10,10,31.677
145,10,10,26.726
146,10,10,30.433
147,10,10,33.937
148,11,11,26.623
149,11,11,33.253
150,12,12,31.095
151,13,13,29.386
152,11,11,32.531
153,11,11,32.936
154,10,10,33.020
155,9,9,26.186
156,10,10,30.363
157,10,10,33.887
158,9,9,26.535
159,9,9,32.865
160,9,9,25.677
161,9,9,33.535
162,11,11,27.597
163,12,12,32.223
164,11,11,25.710
165,10,10,33.668
166,10,10,30.410
167,11,11,40.687
168,10,10,40.084
169,12,12,29.565
170,13,13,34.433
171,13,13,28.282
172,13,13,31.924
173,12,12,33.972
174,12,12,24.681
175,10,10,33.745
176,10,10,26.426
177,11,11,34.410
178,10,10,23.118
179,9,9,32.672
180,9,9,30.277
181,9,9,32.956
182,10,10,33.249
183,10,10,26.532
184,11,11,31.350
185,11,11,27.849
186,11,11,30.271
187,12,12,25.060
188,11,11,30.469
189,11,11,34.476
190,12,12,30.853
191,12,12,33.805
192,12,12,30.136
193,12,12,33.998
194,12,12,25.652
195,12,12,30.153
196,12,12,32.143
197,11,11,26.498
198,11,11,30.691
199,11,11,32.698
200,12,12,32.310
201,12,12,34.838
202,12,12,26.032
203,14,14,33.021
204,13,13,26.541
205,14,14,33.707
206,14,14,30.209
207,13,13,34.253
208,13,13,25.321
209,15,15,33.169
210,15,15,23.059
211,12,12,30.752
212,12,12,32.734
213,14,14,26.085
214,12,12,30.025
215,11,11,33.367
216,11,11,33.077
217,12,12,28.472
218,12,12,31.965
219,13,13,30.170
220,14,14,31.915
221,14,14,32.938
222,12,12,31.140
223,13,13,28.253
224,12,12,31.513
225,11,11,33.090
226,12,12,32.529
227,12,12,30.802
228,11,11,31.989
229,12,12,34.540
230,11,11,25.745
231,12,12,34.106
232,12,12,24.974
233,12,12,31.745
234,11,11,32.778
235,12,12,28.338
236,11,11,31.470
237,11,11,25.247
238,11,11,26.876
239,12,12,32.580
240,11,11,32.632
241,13,13,30.484
242,13,13,32.484
243,11,11,34.478
244,11,11,35.120
245,12,12,29.313
246,12,12,31.997
247,12,12,24.624
248,11,11,30.157
249,11,11,34.144
250,11,11,31.800
251,13,13,29.403
252,13,13,29.392
253,12,12,35.170
254,12,12,24.811
255,14,14,32.760
256,11,11,22.895
257,12,12,31.554
258,10,10,31.280
259,11,11,32.432
260,11,11,31.834
261,11,11,33.648
262,11,11,30.750
263,11,11,32.532
264,12,12,33.282
265,12,12,26.331
266,12,12,31.120
267,11,11,33.213
268,12,12,31.799
269,12,12,35.702
270,12,12,28.270
271,10,10,42.211
272,12,12,27.270
273,11,11,32.923
274,10,10,25.938
275,10,10,32.811
276,11,11,31.946
277,11,11,28.890
278,12,12,38.320
279,11,11,39.803
280,13,13,29.127
281,12,12,40.803
282,12,12,37.779
283,11,11,42.320
284,9,9,36.104
285,11,11,30.630
286,12,12,32.373
287,14,14,32.677
288,14,14,34.859
289,12,12,29.035
290,12,12,31.972
291,10,10,28.308
292,10,10,30.908
293,12,12,28.149
294,12,12,29.701
295,10,10,43.741
296,11,11,29.628
297,11,11,34.405
298,9,9,25.363
299,11,11,31.567
300,12,12,32.008
301,11,11,32.100
302,12,12,31.939
303,11,11,27.954
304,12,12,31.125
305,12,12,26.716
306,12,12,30.947
307,12,12,34.742
308,12,12,26.300
309,10,10,34.330
310,12,12,30.748
311,12,12,33.001
312,13,13,29.119
313,12,12,27.271
314,12,12,31.785
315,12,12,26.933
316,12,12,29.743
317,12,12,33.398
318,12,12,24.943
319,13,13,32.541
320,13,13,31.911
321,13,13,29.139
322,13,13,32.836
323,13,13,36.146
324,13,13,23.562
325,13,13,32.894
326,13,13,18.903
327,13,13,38.914
328,13,13,40.526
329,13,13,24.334
330,12,12,30.552
331,11,11,33.156
332,11,11,26.736
333,11,11,33.010
334,11,11,27.414
335,9,9,30.595
336,10,10,32.076
337,11,11,29.422
338,9,9,32.228
339,10,10,30.559
340,9,9,34.090
341,9,9,33.101
342,9,9,32.794
343,10,10,33.206
344,10,10,28.940
345,9,9,33.299
346,10,10,32.520
347,10,10,25.570
348,10,10,31.522
349,7,7,27.003
350,9,9,30.678
351,10,10,32.497
352,10,10,25.082
353,10,10,31.794
354,11,11,34.200
355,11,11,33.490
356,9,9,25.820
357,9,9,31.674
358,10,10,35.579
359,11,11,27.251
360,9,9,31.840
361,9,9,26.649
362,8,8,32.929
363,9,9,34.317
364,9,9,24.875
365,9,9,33.969
366,9,9,27.944
367,9,9,32.857
368,10,10,28.204
369,10,10,34.631
370,11,11,28.064
371,10,10,32.928
372,10,10,26.015
373,10,10,31.340
374,12,12,32.664
375,11,11,27.908
376,10,10,34.395
377,10,10,28.750
378,9,9,30.122
379,9,9,34.079
380,9,9,26.088
381,9,9,34.055
382,10,10,24.338
383,9,9,33.363
384,11,11,27.856
385,11,11,34.086
386,11,11,25.692
387,10,10,32.914
388,10,10,28.058
389,10,10,33.250
390,11,11,33.164
391,11,11,26.013
392,11,11,31.492
393,11,11,27.988
394,10,10,34.350
395,10,10,25.129
396,10,10,32.893
397,9,9,29.699
398,9,9,33.694
399,10,10,25.040
400,10,10,30.725
401,10,10,33.205
402,9,9,23.270
403,10,10,31.379
404,10,10,32.729
405,10,10,26.759
406,10,10,31.167
407,10,10,33.951
408,9,9,25.397
409,10,10,34.722
410,11,11,24.363
411,11,11,36.236
412,9,9,24.675
413,11,11,32.577
414,11,11,33.071
415,9,9,27.603
416,9,9,31.905
417,9,9,26.235
418,10,10,32.046
419,11,11,33.996
420,11,11,25.536
421,10,10,33.786
422,11,11,24.771
423,9,9,31.126
424,8,8,31.884
425,8,8,34.454
426,9,9,31.808
427,9,9,32.623
428,10,10,33.371
429,10,10,33.220
430,9,9,32.032
431,11,11,34.012
432,10,10,23.909
433,10,10,33.138
434,10,10,25.435
435,10,10,31.437
436,10,10,30.675
437,10,10,33.586
438,10,10,25.410
439,10,10,33.681
440,10,10,31.968
441,11,11,34.111
442,12,12,28.150
443,11,11,32.856
444,10,10,30.433
445,12,12,35.627
446,11,11,27.033
447,11,11,33.066
448,11,11,26.482
449,10,10,33.210
450,10,10,29.342
451,11,11,31.591
452,10,10,29.074
453,10,10,31.604
454,10,10,35.217
455,11,11,33.437
456,11,11,26.614
457,12,12,31.488
458,11,11,32.286
459,12,12,26.400
460,12,12,30.511
461,11,11,34.904
462,12,12,24.006
463,11,11,32.171
464,11,11,32.092
465,11,11,29.292
466,11,11,29.243
467,10,10,31.101
468,11,11,31.367
469,10,10,40.102
470,10,10,38.263
471,10,10,41.438
472,10,10,34.975
473,12,12,34.061
474,11,11,26.599
475,12,12,28.804
476,10,10,34.555
477,11,11,27.992
478,10,10,34.064
479,10,10,23.795
480,10,10,33.745
481,10,10,26.785
482,11,11,31.328
483,10,10,31.425
484,10,10,34.757
485,10,10,24.626
486,11,11,32.555
487,11,11,29.262
488,11,11,29.657
489,11,11,28.682
490,10,10,45.098
491,10,10,42.591
492,10,10,25.726
493,10,10,29.296
494,9,9,31.322
495,10,10,28.171
496,10,10,33.517
497,10,10,26.154
498,9,9,29.714
499,10,10,30.942
500,10,10,37.595
501,9,9,42.504
502,9,9,28.147
503,10,10,30.691
504,10,10,31.477
505,10,10,29.138
506,11,11,38.062
507,10,10,37.426
508,9,9,40.747
509,10,10,34.685
510,10,10,28.266
511,10,10,33.316
512,10,10,30.427
513,10,10,43.639
514,10,10,43.763
515,10,10,33.886
516,10,10,23.398
517,10,10,35.861
518,10,10,26.016
519,10,10,43.866
520,11,11,36.720
521,11,11,31.834
522,11,11,26.971
523,10,10,30.633
524,11,11,30.296
525,10,10,43.511
526,10,10,41.733
527,10,10,28.999
528,10,10,33.469
529,11,11,26.256
530,11,11,28.827
531,9,9,34.090
532,8,8,29.945
533,10,10,33.191
534,10,10,28.365
535,10,10,34.451
536,10,10,28.552
537,9,9,27.047
538,10,10,30.849
539,10,10,34.204
540,10,10,30.692
541,10,10,35.817
542,10,10,28.046
543,10,10,34.938
544,10,10,24.044
545,10,10,32.352
546,10,10,32.818
547,10,10,26.919
548,10,10,34.174
549,10,10,31.774
550,10,10,32.740
551,10,10,26.544
552,10,10,31.153
553,10,10,35.522
554,10,10,22.970
555,10,10,32.380
556,10,10,32.860
557,10,10,29.641
558,10,10,31.148
559,11,11,29.462
560,10,10,32.398
561,9,9,34.657
562,9,9,32.373
563,10,10,35.021
564,10,10,31.956
565,11,11,30.271
566,11,11,31.929
567,11,11,30.088
568,11,11,32.567
569,11,11,25.953
570,11,11,32.355
571,11,11,28.858
572,11,11,30.101
573,11,11,26.320
574,11,11,30.546
575,10,10,33.720
576,10,10,27.603
577,10,10,29.824
578,10,10,32.132
579,10,10,26.027
580,11,11,28.170
581,10,10,27.444
582,9,9,30.225
583,9,9,34.252
584,9,9,26.532
585,9,9,34.070
586,11,11,28.556
587,10,10,33.697
588,11,11,30.118
589,9,9,31.037
590,8,8,25.080
591,8,8,31.705
592,9,9,32.754
593,9,9,24.942
594,9,9,33.873
595,9,9,27.313
596,9,9,29.630
597,8,8,33.268
598,10,10,25.235
599,9,9,32.499
600,10,10,32.149
601,10,10,34.640
602,10,10,24.421
603,10,10,31.810
604,10,10,30.390
605,10,10,33.226
606,11,11,26.004
607,10,10,32.777
608,10,10,32.429
609,10,10,35.391
610,10,10,25.275
611,11,11,31.742
612,11,11,33.506
613,11,11,28.771
614,11,11,31.663
615,11,11,28.663
616,11,11,28.681
617,11,11,32.885
618,10,10,24.692
619,10,10,32.714
620,10,10,31.048
621,10,10,34.740
622,11,11,25.689
623,11,11,31.154
624,10,10,31.823
625,9,9,30.057
626,8,8,32.373
627,8,8,26.312
628,10,10,30.589
629,10,10,33.486
630,9,9,32.243
631,10,10,29.764
632,9,9,32.670
633,10,10,28.245
634,8,8,30.806
635,9,9,34.443
636,9,9,27.052
637,10,10,34.054
638,10,10,32.355
639,11,11,31.673
640,10,10,31.982
641,10,10,29.955
642,9,9,32.385
643,9,9,27.757
644,9,9,28.926
645,9,9,33.670
646,10,10,30.876
647,9,9,32.682
648,9,9,30.213
649,9,9,34.137
650,10,10,26.891
651,10,10,32.734
652,9,9,31.599
653,9,9,35.362
654,9,9,33.429
655,10,10,34.032
656,10,10,29.729
657,10,10,27.808
658,10,10,30.717
659,10,10,27.149
660,10,10,32.891
661,10,10,25.507
662,9,9,30.151
663,9,9,32.844
664,10,10,29.410
665,9,9,34.415
666,9,9,27.327
667,9,9,34.627
668,9,9,28.199
669,9,9,25.091
670,9,9,31.711
671,10,10,39.164
672,10,10,38.247
673,9,9,26.893
674,10,10,32.525
675,10,10,32.599
676,10,10,25.923
677,10,10,33.278
678,10,10,27.753
679,11,11,34.121
680,10,10,27.565
681,10,10,32.318
682,11,11,28.113
683,11,11,33.255
684,11,11,27.555
685,9,9,34.362
686,10,10,25.737
687,11,11,32.393
688,12,12,32.389
689,12,12,33.034
690,12,12,33.599
691,11,11,26.403
692,10,10,30.459
693,10,10,33.977
694,10,10,31.986
695,10,10,35.457
696,10,10,28.281
697,10,10,34.128
698,10,10,27.566
699,10,10,31.408
700,10,10,31.599
701,10,10,35.287
702,11,11,26.592
703,12,12,31.145
704,11,11,31.422
